review_order,facet_id,canonical_target,original_value_candidate,corrected_value_candidate,reviewer_decision,candidate_expression,category_count,category_local_codes,apply_status,reason
52,packaging,individual_packaging,portable,individual_packaging,NEEDS_REVIEW,개별 포장,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
53,odor,odor,fishy,odor,REJECT_DIFFERENT_MEANING,냄새가 없,0,{},REJECTED_BY_HUMAN,Human decision rejected this candidate.
54,taste,after_taste,bitter,after_taste,NEEDS_REVIEW,뒷맛,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
55,tablet_size,large,large,,APPROVE_ALIAS,알이 크,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
56,tablet_size,large,small,large,NEEDS_REVIEW,알이 크,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
57,packaging,stick_packaging,individual_packaging,stick_packaging,NEEDS_REVIEW,스틱 포장,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
58,packaging,stick_packaging,portable,stick_packaging,NEEDS_REVIEW,스틱 포장,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
59,ingredient_inclusion,ingredient_mentioned,ingredient_mentioned,,APPROVE_ALIAS,영양성분,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
60,intake_convenience,convenient,convenient,,APPROVE_ALIAS,복용하기 편,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
61,intake_convenience,convenient,inconvenient,convenient,NEEDS_REVIEW,복용하기 편,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
62,tablet_size,small,large,small,NEEDS_REVIEW,작은 알,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
63,tablet_size,small,small,,APPROVE_ALIAS,작은 알,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
64,ingredient_inclusion,content,ingredient_mentioned,content,NEEDS_REVIEW,함량이 높,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
65,intake_convenience,take,convenient,take,NEEDS_REVIEW,챙겨 먹기,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
66,intake_convenience,take,inconvenient,take,NEEDS_REVIEW,챙겨 먹기,0,{},DEFERRED_TAXONOMY_NOT_APPROVED,Facet is not part of approved V2.2 taxonomy.
